model,frames,cls_head,finetuned,dataset,time_exp,timestamp
uniformerv2,16,all,False,aerobic_gymnastics,1:16:51.03514766693115,2024-06-02 21:16:09
uniformerv2,32,all,False,aerobic_gymnastics,0:45:50.141597747802734,2024-06-02 22:02:02
videomaev2,32,all,False,aerobic_gymnastics,2:38:12.333143949508667,2024-06-03 00:40:16
mvitv2,8,all,False,aerobic_gymnastics,1:14:13.987305879592896,2024-06-03 01:54:37
mvitv2,16,all,False,aerobic_gymnastics,2:38:30.588019847869873,2024-06-03 04:33:10
uniformerv2,8,all,True,basketball,1:0:16.238330841064453,2024-06-22 11:41:43
mvitv2,32,all,True,basketball,0:50:16.105249881744385,2024-06-22 12:32:02
videomaev2,16,all,True,basketball,0:45:24.12468194961548,2024-06-22 13:17:32
uniformerv2,8,all,True,football,1:35:55.31514072418213,2024-06-23 00:09:58
videomaev2,32,all,True,basketball,1:17:16.47855043411255,2024-06-23 11:29:32
uniformerv2,16,all,True,basketball,0:57:0.7963736057281494,2024-06-23 12:26:35
uniformerv2,32,all,True,basketball,2:31:24.689791202545166,2024-06-23 14:58:02
mvitv2,8,all,True,basketball,2:33:45.17790603637695,2024-06-23 17:31:53
mvitv2,16,all,True,basketball,1:2:29.08621907234192,2024-06-23 18:34:25
uniformerv2,8,all,True,volleyball,0:27:52.73317003250122,2024-07-02 09:17:47
mvitv2,32,all,True,volleyball,0:57:15.726269721984863,2024-07-02 10:15:05
videomaev2,16,all,True,volleyball,0:34:32.236783266067505,2024-07-02 10:49:40
uniformerv2,16,all,True,volleyball,1:43:41.58779048919678,2024-07-02 12:33:24
uniformerv2,32,all,True,volleyball,1:43:30.31325078010559,2024-07-02 14:16:56
mvitv2,8,all,True,volleyball,1:9:1.0490481853485107,2024-07-02 15:25:59
mvitv2,16,all,True,volleyball,0:37:50.04868459701538,2024-07-02 16:03:52
videomaev2,32,all,True,volleyball,0:53:54.02794599533081,2024-07-02 16:57:48
mvitv2,32,all,True,football,1:9:20.555015563964844,2024-07-03 22:44:57
videomaev2,16,all,True,football,0:55:35.11783814430237,2024-07-03 23:40:39
uniformerv2,16,all,True,football,1:9:27.190279483795166,2024-07-04 00:50:08
uniformerv2,32,all,True,football,1:19:10.478121519088745,2024-07-04 02:09:26
mvitv2,8,all,True,football,1:13:6.946980953216553,2024-07-04 03:22:35
mvitv2,16,all,True,football,1:50:32.9863965511322,2024-07-04 05:13:10
videomaev2,32,all,True,football,2:55:0.15551543235778809,2024-07-04 08:08:12
uniformerv2,8,all,True,aerobic_gymnastics,1:4:49.363430976867676,2024-07-05 04:19:09
mvitv2,32,all,True,aerobic_gymnastics,2:7:30.187101364135742,2024-07-05 06:26:42
videomaev2,16,all,True,aerobic_gymnastics,1:7:10.729984760284424,2024-07-05 07:33:55
uniformerv2,16,all,True,aerobic_gymnastics,0:56:2.150148391723633,2024-07-05 08:29:59
uniformerv2,32,all,True,aerobic_gymnastics,0:56:25.822089910507202,2024-07-05 09:26:27
mvitv2,8,all,True,aerobic_gymnastics,1:5:48.931605100631714,2024-07-05 10:32:22
mvitv2,16,all,True,aerobic_gymnastics,2:20:8.354336023330688,2024-07-05 12:52:33
videomaev2,32,all,True,aerobic_gymnastics,1:27:58.51943278312683,2024-07-05 14:20:34
